City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
651,Banfora,BF,70.68,broken clouds,10.6333,-4.7667,Residences David Hebié
652,Dalby,AU,68.7,few clouds,-27.1833,151.2667,Kobbers Motor Inn Dalby
653,Inongo,CD,71.6,light rain,-1.95,18.2667,Hotel Du Lac
658,Arona,ES,80.69,clear sky,28.0996,-16.681,Paradise Court
659,Qingdao,CN,83.8,scattered clouds,36.0986,120.3719,东晖国际大酒店餐厅
660,Santarem,BR,77.13,few clouds,-2.4431,-54.7083,Ecotur Lodge
664,Marsh Harbour,BS,82.42,light rain,26.5412,-77.0636,Abaco Beach Resort
666,Coos Bay,US,75.31,scattered clouds,43.3665,-124.2179,Best Western Holiday Hotel
667,Kakching,IN,72.88,moderate rain,24.4833,93.9833,Dorendro Yengkhom's Shanghai
668,Innisfail,AU,72.14,broken clouds,-17.5333,146.0333,Moondarra Motel
